Group Pattern,Confidence,Company Code,Vendor,value,Amount Overbooked,Group Contains,Date,Group UUID,Region,Description,Payment Method,Special Intructions,reference,,,
similar description,High,3000,Global Business Properties,1800,1200,All Cleared,2/11/2025,38531ba18c1265e6947f48568676ffbbaeee5cd962fed9369dd21839297e2548,South,Crisis Mannagement Services,Credit Card,Sales tax has been included in the total amount,Inv-621,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,1/29/2025,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d,West,Customer Feedback Analysis,Bank Transfeer,,Inv-7640,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,1/29/2025,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d,West,Customer Feedback Analysis,Bank Transaer,,Inv-7640,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,1/29/2025,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d,West,Customer Feedback Analysis,Bank Traansfer,,Inv-7640,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,1/29/2025,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d,West,Customer Feedback Analysis,Bank Ttansfer,,Inv-7640,,,
similar payment_method,High,3000,Global Business Properties,1800,1200,All Cleared,1/29/2025,47ad131e3195a426defdf321cdeea5e873737d821bcb3070fda2429cdc8b224d,West,Customer Feedback Analysis,Bank yransfer,,Inv-7640,,,
similar date,High,3000,Global Business Properties,1800,1200,All Cleared,20v5-02-24,4d30f06ec11a73d035430015bf1cbbaa22f004f920492f8fe59b9a9e93cffde9,East,Cybersecurity Services,Cash,Please see attached itemized list for detailed charges,Inv-699,,,
similar date,High,3000,Global Business Properties,1800,1200,All Cleared,20025-02-24,4d30f06ec11a73d035430015bf1cbbaa22f004f920492f8fe59b9a9e93cffde9,East,Cybersecurity Services,Cash,Please see attached itemized list for detailed charges,Inv-699,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,1/18/2025,b9a5695995a70feff20ff2bf426400b23d7c02cf4e2f2cbd64f67f397992f742,North,Design Consultation Services,dayPal,,Inv-6140,,,
similar payment_method,High,3000,Multiple,1800,1200,All Open,1/18/2025,b9a5695995a70feff20ff2bf426400b23d7c02cf4e2f2cbd64f67f397992f742,North,Design Consultation Services,PaayPal,,Inv-6140,,,
similar payment_method,High,3000,GATORSA,1800,1200,All Open,2/3/2025,beb343f28b9472f72e0bf667644b0057aa8e36e80c41244e6909beb5e255e415,East,Digital Marketing Campaign,Credit Caard,,Inv-4321,,,
similar payment_method,High,3000,GATORSA,1800,1200,All Open,2/3/2025,beb343f28b9472f72e0bf667644b0057aa8e36e80c41244e6909beb5e255e415,East,Digital Marketing Campaign,Credit Cary,,Inv-4321,,,
similar vendor,High,3000,Multipple,1800,1200,All Open,2/17/2025,f40fae22cc95ac8e94a1820684c41cd89af99bddc4b54425a7a484fbff94d5d7,West,Document Review Services,Credit Card,,Inv-446,,,
similar vendor,High,3000,Multiplle,1800,1200,All Open,2/17/2025,f40fae22cc95ac8e94a1820684c41cd89af99bddc4b54425a7a484fbff94d5d7,West,Document Review Services,Credit Card,,Inv-446,,,
similar vendor,High,3000,Muytiple,1800,1200,All Open,2/17/2025,f40fae22cc95ac8e94a1820684c41cd89af99bddc4b54425a7a484fbff94d5d7,West,Document Review Services,Credit Card,,Inv-446,,,
similar vendor,High,3000,Mutiple,1800,1200,All Open,2/17/2025,f40fae22cc95ac8e94a1820684c41cd89af99bddc4b54425a7a484fbff94d5d7,West,Document Review Services,Credit Card,,Inv-446,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,2/21/2025,4abe333f24db0194aa910430cac7e80c07ad4906768924e5c8fc79c5aa990df1,East,Domain Name Registration,Credit Card,,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,2/21/2025,4abe333f24db0194aa910430cac7e80c07ad4906768924e5c8fc79c5aa990df1,East,Domain Name Registration,Credit Card,,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,2/21/2025,4abe333f24db0194aa910430cac7e80c07ad4906768924e5c8fc79c5aa990df1,East,Domain Name Registration,Credit Card,,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,2/21/2025,4abe333f24db0194aa910430cac7e80c07ad4906768924e5c8fc79c5aa990df1,East,Domain Name Registration,Credit Card,,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,1/26/2025,a035f0d3bb5a1873a23c23ccf64aa573e72e4089bf28012f24fe214ecdfd4fad,East,Donation Processing,Credit Card,Please reference invoice nummber in all correspondence,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,1/26/2025,a035f0d3bb5a1873a23c23ccf64aa573e72e4089bf28012f24fe214ecdfd4fad,East,Donation Processing,Credit Card,Please reference invoice umber in all correspondence,Inv-1144,,,
similar special_instructions,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,1/26/2025,a035f0d3bb5a1873a23c23ccf64aa573e72e4089bf28012f24fe214ecdfd4fad,East,Donation Processing,Credit Card,Please reference invoice number in all corresponbence,Inv-1144,,,
exact,High,3000,Global Business Properties,1720.899041,1120.899041,All Cleared,3/5/2025,c19e6df1600de0cadaffd8c0b12e0ae754bd5840451a40f838e9ed76939144f0,North,E-commerce Platform Setup,Credit Card,,Inv-369,,,
similar value,High,3000,Global Business Properties,1720.8990r1,1120.899041,All Cleared,3/27/2025,f9cb34abf36f9794f874626b5ba59a41642f403d6780ec53f3f0ed2924d78658,North,Email Marketing Services,Cash,Custom instructions provided by customer will be followed,Inv-6742,,,
similar value,High,3000,Global Business Properties,1720.899044,1120.899041,All Cleared,3/27/2025,f9cb34abf36f9794f874626b5ba59a41642f403d6780ec53f3f0ed2924d78658,North,Email Marketing Services,Cash,Custom instructions provided by customer will be followed,Inv-6742,,,
similar value,High,3000,Global Business Properties,1720.899s41,1120.899041,All Cleared,3/27/2025,f9cb34abf36f9794f874626b5ba59a41642f403d6780ec53f3f0ed2924d78658,North,Email Marketing Services,Cash,Custom instructions provided by customer will be followed,Inv-6742,,,
similar value,High,3000,Global Business Properties,1720.899904,1120.899041,All Cleared,3/27/2025,f9cb34abf36f9794f874626b5ba59a41642f403d6780ec53f3f0ed2924d78658,North,Email Marketing Services,Cash,Custom instructions provided by customer will be followed,Inv-6742,,,
similar date,High,3000,WCB - Saskatchewan,1716.485173,858.2425864,All Open,20255-03-07,0b8e27ca54496f2a8893684efe8afb801e6d62cb429e1251cad3bdee7b06bced,North,Employee Training Programs,PayPal,,Inv-1093,,,
similar date,High,3000,WCB - Saskatchewan,1716.485173,858.2425864,All Open,205-03-07,0b8e27ca54496f2a8893684efe8afb801e6d62cb429e1251cad3bdee7b06bced,North,Employee Training Programs,PayPal,,Inv-1093,,,
similar date,High,3000,WCB - Saskatchewan,1716.485173,858.2425864,All Open,2025g03-07,0b8e27ca54496f2a8893684efe8afb801e6d62cb429e1251cad3bdee7b06bced,North,Employee Training Programs,PayPal,,Inv-1093,,,
similar date,High,3000,Aztec Supplies,1716.485173,858.2425864,All Open,225-04-11,0e5acc6d79a31911f827df483260a20e0284af8e4ebcbee0e97e41b1f10af303,North,Equipment Rental Fees,Bank Transfer,This invoice includes recurring monthly charges,Inv-4746,,,
similar date,High,3000,Aztec Supplies,1716.485173,858.2425864,All Open,2025s04-11,0e5acc6d79a31911f827df483260a20e0284af8e4ebcbee0e97e41b1f10af303,North,Equipment Rental Fees,Bank Transfer,This invoice includes recurring monthly charges,Inv-4746,,,
similar date,High,3000,Aztec Supplies,1716.485173,858.2425864,All Open,4/1/2025,0e5acc6d79a31911f827df483260a20e0284af8e4ebcbee0e97e41b1f10af303,North,Equipment Rental Fees,Bank Transfer,This invoice includes recurring monthly charges,Inv-4746,,,
exact,High,3000,World Wide Computer Warehouse,1716.485173,858.2425864,All Open,2/24/2025,110b51d66a02e09cb64815c6710f056c795a557dfc9c6f6db7f7dcbe16ddbdfc,South,Event Photography,Bank Transfer,,Inv-5791,,,
exact,High,3000,World Wide Computer Warehouse,1716.485173,858.2425864,All Open,2/24/2025,110b51d66a02e09cb64815c6710f056c795a557dfc9c6f6db7f7dcbe16ddbdfc,South,Event Photography,Bank Transfer,,Inv-5791,,,
exact,High,3000,World Wide Computer Warehouse,1716.485173,858.2425864,All Open,2/24/2025,110b51d66a02e09cb64815c6710f056c795a557dfc9c6f6db7f7dcbe16ddbdfc,South,Event Photography,Bank Transfer,,Inv-5791,,,
similar special_instructions,High,3000,CAFS Chemicals & Pharmaceuticals,1716.485173,858.2425864,All Open,1/2/2025,257f9229f0fdc4b0ea0ecd471f3c80500e52751ce9996073dd31f2b779b140b8,North,Event Planning Services,Credit Card,Details of any applicable discounts are attaached,Inv-5658,,,
similar reference,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,3/14/2025,2dc066b6cfca55ce8c36737830ca537f2cdf6983b52db16b73b327281a35ccbb,South,Exhibition Fees,Credit Card,,onv-4245,,,
similar reference,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,3/14/2025,2dc066b6cfca55ce8c36737830ca537f2cdf6983b52db16b73b327281a35ccbb,South,Exhibition Fees,Credit Card,,Innv-4245,,,
similar reference,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,3/14/2025,2dc066b6cfca55ce8c36737830ca537f2cdf6983b52db16b73b327281a35ccbb,South,Exhibition Fees,Credit Card,,Inv-44245,,,
similar reference,High,3000,Manhattan Corporation,1716.485173,858.2425864,All Open,2/1/2025,327d7caebfb85d6a7559bf42731a3127e9f8311f44faff9650f15db699751b20,North,Flyer and Brochure Design,Cash,,Inv-w873,,,
similar date,High,3000,CET New York,1716.485173,858.2425864,All Open,2025-03-007,4b9650685f17f38b83546de673cb67991103f74862355b41e0046fa138bf49ea,East,Focus Group Moderation,Credit Card,,Inv-4380,,,
similar date,High,3000,CET New York,1716.485173,858.2425864,All Open,2025-03-007,4b9650685f17f38b83546de673cb67991103f74862355b41e0046fa138bf49ea,East,Focus Group Moderation,Credit Card,,Inv-4380,,,
similar date,High,3000,CET New York,1716.485173,858.2425864,All Open,2025--03-07,4b9650685f17f38b83546de673cb67991103f74862355b41e0046fa138bf49ea,East,Focus Group Moderation,Credit Card,,Inv-4380,,,
similar date,High,3000,CET New York,1716.485173,858.2425864,All Open,z025-03-07,4b9650685f17f38b83546de673cb67991103f74862355b41e0046fa138bf49ea,East,Focus Group Moderation,Credit Card,,Inv-4380,,,
similar reference,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/30/2025,8cb11f2b5e1bc11e955b0762d18efcc98ddd03d7d7e7277ca5854834ee3372ac,West,Fundraising Services,PayPal,,Inv-835,,,
similar reference,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/30/2025,8cb11f2b5e1bc11e955b0762d18efcc98ddd03d7d7e7277ca5854834ee3372ac,West,Fundraising Services,PayPal,,Inv-k835,,,
similar reference,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/30/2025,8cb11f2b5e1bc11e955b0762d18efcc98ddd03d7d7e7277ca5854834ee3372ac,West,Fundraising Services,PayPal,,Inv-883,,,
similar reference,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/30/2025,8cb11f2b5e1bc11e955b0762d18efcc98ddd03d7d7e7277ca5854834ee3372ac,West,Fundraising Services,PayPal,,Inv8835,,,
similar special_instructions,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,4/1/2025,bfbf57fe8f94cf97a3aa19efb6950afb682cd1dcbdd40ca960b954871c056f42,North,Grant Writing Services,PayPal,,Inv-1181,,,
similar special_instructions,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,4/1/2025,bfbf57fe8f94cf97a3aa19efb6950afb682cd1dcbdd40ca960b954871c056f42,North,Grant Writing Services,PayPal,,Inv-1181,,,
similar special_instructions,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,4/1/2025,bfbf57fe8f94cf97a3aa19efb6950afb682cd1dcbdd40ca960b954871c056f42,North,Grant Writing Services,PayPal,,Inv-1181,,,
similar vendor,High,3000,Global Business Propeerties,1716.485173,858.2425864,All Cleared,1/15/2025,c162395248839909fb7a70012fb23ef7719605d50ec28a720f8a59b0f492523c,North,Graphic Design Services,Bank Transfer,Credit terms are available upon request,Inv-4959,,,
similar vendor,High,3000,Glomal Business Properties,1716.485173,858.2425864,All Cleared,1/15/2025,c162395248839909fb7a70012fb23ef7719605d50ec28a720f8a59b0f492523c,North,Graphic Design Services,Bank Transfer,Credit terms are available upon request,Inv-4959,,,
similar vendor,High,3000,GlobalsBusiness Properties,1716.485173,858.2425864,All Cleared,1/15/2025,c162395248839909fb7a70012fb23ef7719605d50ec28a720f8a59b0f492523c,North,Graphic Design Services,Bank Transfer,Credit terms are available upon request,Inv-4959,,,
similar vendor,High,3000,Global  Business Properties,1716.485173,858.2425864,All Cleared,1/15/2025,c162395248839909fb7a70012fb23ef7719605d50ec28a720f8a59b0f492523c,North,Graphic Design Services,Bank Transfer,Credit terms are available upon request,Inv-4959,,,
similar region,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,2/10/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103,Easst,Health and Safety Training,Bank Transfer,,Inv-6851,,,
similar region,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,2/10/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103,Est,Health and Safety Training,Bank Transfer,,Inv-6851,,,
similar region,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,2/10/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103,Eas,Health and Safety Training,Bank Transfer,,Inv-6851,,,
similar region,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,2/10/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103,Ecst,Health and Safety Training,Bank Transfer,,Inv-6851,,,
similar region,High,3000,IOT Furnitures Inc.,1716.485173,858.2425864,All Open,2/10/2025,e3f3e9c26f8dd64ea899520c92d16152df86e95beed36c3a4becac782d78d103,Est,Health and Safety Training,Bank Transfer,,Inv-6851,,,
similar special_instructions,High,3000,Global Business Properties,1716.485173,858.2425864,All Cleared,1/21/2025,e4ea486d7ab540f96d72efbc567702971ce32e560f24c857b920939c56aec62e,South,HR Consultation Services,Credit Card,A finance charge of 1.5% per month will apply to overddue balances,Inv-1000,,,
similar value,High,3000,WCB - British Columbia,1716.48517b,858.2425864,All Open,4/10/2025,f8886f2b02d35f1a1c577bea80a5a7adeeb27efe851236a50bc3d0aa4d9d386f,West,Illustration and Artwork,Cash,,Inv-6604,,,
similar value,High,3000,?????????,11200,600,All Open,2/18/2025,0104d5e828ee4600c93f0f11ceb0cc1f82cf375e55e9e159584696f19b08018b,South,Influencer Marketing,Cash,"Payment plans are available, please contact for more details",Inv-582,,,
similar value,High,3000,?????????,100,600,All Open,2/18/2025,0104d5e828ee4600c93f0f11ceb0cc1f82cf375e55e9e159584696f19b08018b,South,Influencer Marketing,Cash,"Payment plans are available, please contact for more details",Inv-582,,,
exact,High,3000,Proveedor 1,1200,600,All Cleared,1/14/2025,0b93770c8c5716171d7cdfda34fbf0bf76d9e7bc22122ff702925d22ece8ed38,South,Insurance Premiums,Credit Card,,Inv-8773,,,
exact,High,3000,Proveedor 1,1200,600,All Cleared,1/14/2025,0b93770c8c5716171d7cdfda34fbf0bf76d9e7bc22122ff702925d22ece8ed38,South,Insurance Premiums,Credit Card,,Inv-8773,,,
similar payment_method,High,3000,"eSupplier, Inc",1200,600,All Open,1/19/2025,0f0a415e0e3cc28b7554189231bbcb2943bbf77a78a388c8ffcdc5123ec3b7cc,West,Inventory Management,PasPal,,Inv-1216,,,
similar special_instructions,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,1/5/2025,114d9c9a98a98e902a7dbc3e6d6730ec14f1bfe0f414ba8437fafd0701fa466c,East,IT Support Services,PayPal,,Inv-1890,,,
similar payment_method,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/14/2025,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6,South,Legal Consultation Services,PPayPal,,Inv-8913,,,
similar payment_method,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/14/2025,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6,South,Legal Consultation Services,ayPal,,Inv-8913,,,
similar payment_method,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/14/2025,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6,South,Legal Consultation Services,PdyPal,,Inv-8913,,,
similar payment_method,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/14/2025,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6,South,Legal Consultation Services,Payal,,Inv-8913,,,
similar payment_method,High,3000,Canada Customs & Revenue Agency,1200,600,All Open,2/14/2025,173cc4a2d7b9fc54dc35b9951cc28a7308b9b394bc09fc7544134a0f015d19e6,South,Legal Consultation Services,PayPall,,Inv-8913,,,
similar value,High,3000,Manhattan Corp.,l200,600,All Open,2/13/2025,1a02290841f102f2666ffebcfa22baa0635a6c98593c522745949aceb2240f83,West,Licensing Fees,Credit Card,,Inv-3125,,,
similar value,High,3000,Manhattan Corp.,12000,600,All Open,2/13/2025,1a02290841f102f2666ffebcfa22baa0635a6c98593c522745949aceb2240f83,West,Licensing Fees,Credit Card,,Inv-3125,,,
similar region,High,3000,SKF Americas,1200,600,All Open,3/23/2025,1e75d078ed7801cb70a4d6a8a650c2f89c8f42b83fa18ed181d882fd3e4a9054,Norrth,Logo Creation and Design,Credit Card,,Inv-8184,,,
similar region,High,3000,SKF Americas,1200,600,All Open,3/23/2025,1e75d078ed7801cb70a4d6a8a650c2f89c8f42b83fa18ed181d882fd3e4a9054,Narth,Logo Creation and Design,Credit Card,,Inv-8184,,,
similar region,High,3000,SKF Americas,1200,600,All Open,3/23/2025,1e75d078ed7801cb70a4d6a8a650c2f89c8f42b83fa18ed181d882fd3e4a9054,Norto,Logo Creation and Design,Credit Card,,Inv-8184,,,
similar date,High,3000,Global Business Properties,1200,600,All Cleared,202504-08,1e7890e5a4957509edb4671948b1fca61bdaa1b2bcd0ba9b5ba2aa25c43f64e7,North,Managed IT Services,Bank Transfer,,Inv-5917,,,
similar value,High,3000,"eSupplier, Inc",12000,600,All Open,3/4/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c,North,Media Buying Services,Credit Card,Compliance certification is attached,Inv-1931,,,
similar value,High,3000,"eSupplier, Inc",1r00,600,All Open,3/4/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c,North,Media Buying Services,Credit Card,Compliance certification is attached,Inv-1931,,,
similar value,High,3000,"eSupplier, Inc",100,600,All Open,3/4/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c,North,Media Buying Services,Credit Card,Compliance certification is attached,Inv-1931,,,
similar value,High,3000,"eSupplier, Inc",12200,600,All Open,3/4/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c,North,Media Buying Services,Credit Card,Compliance certification is attached,Inv-1931,,,
similar value,High,3000,"eSupplier, Inc",200,600,All Open,3/4/2025,27bc2f93dda00ec875970fe652e3f9f61068dcc8a5eaf9c00b1642150871bf3c,North,Media Buying Services,Credit Card,Compliance certification is attached,Inv-1931,,,
similar value,High,3000,Canada Customs & Revenue Agency,12r0,600,All Open,2/11/2025,29fcd6fb36fadfd0c8d55fdcb47efab985b0f7f609d3250b1e799b83938b6a9f,West,Mediation and Arbitration,Cash,,Inv-7487,,,
similar value,High,3000,Canada Customs & Revenue Agency,12000,600,All Open,2/11/2025,29fcd6fb36fadfd0c8d55fdcb47efab985b0f7f609d3250b1e799b83938b6a9f,West,Mediation and Arbitration,Cash,,Inv-7487,,,
similar vendor,High,3000,WCB - Nova rcotia,1200,600,All Open,2/25/2025,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6,South,Mobile App Development,PayPal,,Inv-664,,,
similar vendor,High,3000,WCB - Nova Scottia,1200,600,All Open,2/25/2025,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6,South,Mobile App Development,PayPal,,Inv-664,,,
similar vendor,High,3000,WCB - Nova  Scotia,1200,600,All Open,2/25/2025,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6,South,Mobile App Development,PayPal,,Inv-664,,,
similar vendor,High,3000,WCB - Nova Scoti,1200,600,All Open,2/25/2025,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6,South,Mobile App Development,PayPal,,Inv-664,,,
similar vendor,High,3000,WCB - Nova Scotir,1200,600,All Open,2/25/2025,34a7c91c9779e470995c36c0a6613c05bb108b8a35b7e54d605ea367537a62e6,South,Mobile App Development,PayPal,,Inv-664,,,
similar payment_method,High,3000,?????????,1200,600,All Open,1/2/2025,35a2277e747287113cd698e35f7cda44e03a81c9d9fd866c7ae46dbb6a2ea588,North,Network Installation and Setup,Bank Trasfer,Handling fees for hazardous materials apply,Inv-7904,,,
similar payment_method,High,3000,?????????,1200,600,All Open,1/2/2025,35a2277e747287113cd698e35f7cda44e03a81c9d9fd866c7ae46dbb6a2ea588,North,Network Installation and Setup,Bak Transfer,Handling fees for hazardous materials apply,Inv-7904,,,
similar payment_method,High,3000,?????????,1200,600,All Open,1/2/2025,35a2277e747287113cd698e35f7cda44e03a81c9d9fd866c7ae46dbb6a2ea588,North,Network Installation and Setup,BankTransfer,Handling fees for hazardous materials apply,Inv-7904,,,
similar payment_method,High,3000,?????????,1200,600,All Open,1/2/2025,35a2277e747287113cd698e35f7cda44e03a81c9d9fd866c7ae46dbb6a2ea588,North,Network Installation and Setup,BankgTransfer,Handling fees for hazardous materials apply,Inv-7904,,,
similar payment_method,High,3000,Proveedor 1,1200,600,All Cleared,1/15/2025,37445041ca56ab5df28cf2d3cd7c48cf776cf6bb5ef65a7d931cc400ce17b293,North,Office Supplies,Bank Trahsfer,,Inv-7275,,,
similar payment_method,High,3000,Proveedor 1,1200,600,All Cleared,1/15/2025,37445041ca56ab5df28cf2d3cd7c48cf776cf6bb5ef65a7d931cc400ce17b293,North,Office Supplies,Bank Transffer,,Inv-7275,,,
similar value,High,3000,CET New York,120y,600,All Open,2/3/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99,West,Online Advertising Fees,Cash,Special packaging instructions are attached,Inv-1607,,,
similar value,High,3000,CET New York,200,600,All Open,2/3/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99,West,Online Advertising Fees,Cash,Special packaging instructions are attached,Inv-1607,,,
similar value,High,3000,CET New York,100,600,All Open,2/3/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99,West,Online Advertising Fees,Cash,Special packaging instructions are attached,Inv-1607,,,
similar value,High,3000,CET New York,120g,600,All Open,2/3/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99,West,Online Advertising Fees,Cash,Special packaging instructions are attached,Inv-1607,,,
similar value,High,3000,CET New York,11200,600,All Open,2/3/2025,3a17a8b9ac80897014919bd360066aefc10e58c881de06bc216b7dbb3801df99,West,Online Advertising Fees,Cash,Special packaging instructions are attached,Inv-1607,,,
similar value,High,3000,Canada Customs & Revenue Agency,120,600,All Open,2/28/2025,3f26216f519ec843d5793ed0703cdb45568e8a9d923813119815aeee4a97c726,West,Online Course Creation,Bank Transfer,,Inv-8535,,,
similar value,High,3000,Canada Customs & Revenue Agency,120,600,All Open,2/28/2025,3f26216f519ec843d5793ed0703cdb45568e8a9d923813119815aeee4a97c726,West,Online Course Creation,Bank Transfer,,Inv-8535,,,
similar reference,High,3000,Wilhelm Klein,1200,600,All Open,1/25/2025,43c98dcd9056cc9439751fa4415a0838682328b2bfbb608873cd76bb35007232,West,Packaging Services,Credit Card,Sample approval required before full production,Inv-1m80,,,
similar reference,High,3000,Wilhelm Klein,1200,600,All Open,1/25/2025,43c98dcd9056cc9439751fa4415a0838682328b2bfbb608873cd76bb35007232,West,Packaging Services,Credit Card,Sample approval required before full production,Inv-180,,,
similar reference,High,3000,Wilhelm Klein,1200,600,All Open,1/25/2025,43c98dcd9056cc9439751fa4415a0838682328b2bfbb608873cd76bb35007232,West,Packaging Services,Credit Card,Sample approval required before full production,Invd1180,,,
similar reference,High,3000,Wilhelm Klein,1200,600,All Open,1/25/2025,43c98dcd9056cc9439751fa4415a0838682328b2bfbb608873cd76bb35007232,West,Packaging Services,Credit Card,Sample approval required before full production,IInv-1180,,,
similar value,High,3000,COMUNASA,100,600,All Open,3/10/2025,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d,South,Payroll Services,PayPal,,Inv-2477,,,
similar value,High,3000,COMUNASA,100,600,All Open,3/10/2025,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d,South,Payroll Services,PayPal,,Inv-2477,,,
similar value,High,3000,COMUNASA,q200,600,All Open,3/10/2025,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d,South,Payroll Services,PayPal,,Inv-2477,,,
similar value,High,3000,COMUNASA,12200,600,All Open,3/10/2025,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d,South,Payroll Services,PayPal,,Inv-2477,,,
similar value,High,3000,COMUNASA,1w00,600,All Open,3/10/2025,546b2f00b03a14286ee5e27a9a377628ab8426d4f5e8f2e501ba77041cc3c65d,South,Payroll Services,PayPal,,Inv-2477,,,
similar reference,High,3000,WCB - British Columbia,1200,600,All Open,3/16/2025,5823b370be2caf14934062afd965627b6e8e32bb309eeceab95d3c83d727baf8,South,Performance Evaluation,Cash,Custom orders are non-refundable,Inv-6t52,,,
exact,High,3000,COMUNASA,1200,600,All Open,1/19/2025,5db8f33e4c78d20c39172530e998bbe95293ba77db4ea7e727b2cc12d3b941a6,South,Postage and Shipping,PayPal,,Inv-8706,,,
exact,High,3000,COMUNASA,1200,600,All Open,1/19/2025,5db8f33e4c78d20c39172530e998bbe95293ba77db4ea7e727b2cc12d3b941a6,South,Postage and Shipping,PayPal,,Inv-8706,,,
similar payment_method,High,3000,Phunix GmbH,1200,600,All Open,3/4/2025,5eca3a38ff86689da427a44d963b14fd033f081c16b5f46797027fb3aa2d6211,North,Poster and Banner Design,CCredit Card,Temporary access to services is provided until full payment,Inv-2625,,,
similar payment_method,High,3000,Phunix GmbH,1200,600,All Open,3/4/2025,5eca3a38ff86689da427a44d963b14fd033f081c16b5f46797027fb3aa2d6211,North,Poster and Banner Design,Credt Card,Temporary access to services is provided until full payment,Inv-2625,,,
similar payment_method,High,3000,Phunix GmbH,1200,600,All Open,3/4/2025,5eca3a38ff86689da427a44d963b14fd033f081c16b5f46797027fb3aa2d6211,North,Poster and Banner Design,Credit Carrd,Temporary access to services is provided until full payment,Inv-2625,,,
